txnid,payer_id,payee_id,amount,status,respcd,remi_bank,bene_bank,txntimestamp,date
TXN000052,4508,1038,168.59,SUCCESS,,BOB,SBI,2025-02-14 17:14:04.580274,2025-02-14
TXN000053,1287,9806,7356.37,SUCCESS,,HDF,PNB,2025-01-15 11:40:40.580274,2025-01-15
TXN000054,9579,4496,8249.39,SUCCESS,,SBI,BOB,2024-12-17 22:13:52.580274,2024-12-17
TXN000055,2387,6120,7610.85,SUCCESS,,BOB,HDF,2025-04-01 13:54:10.580274,2025-04-01
TXN000056,3910,2629,6406.17,SUCCESS,,BOB,AXB,2025-03-10 20:21:24.580274,2025-03-10
TXN000057,4642,8404,8519.73,PENDING,,PNB,BOB,2025-03-12 03:11:56.580274,2025-03-12
TXN000058,2610,5362,6823.8,SUCCESS,,AXB,HDF,2025-07-02 17:27:23.580274,2025-07-02
TXN000059,1409,7453,8952.83,SUCCESS,,BOB,SBI,2025-03-15 00:33:20.580274,2025-03-15
TXN000060,2438,7483,9313.49,SUCCESS,,PNB,UOB,2024-07-17 20:38:24.580274,2024-07-17
TXN000061,4185,9118,5335.16,PENDING,,UOB,HDF,2024-12-24 22:43:32.580274,2024-12-24
TXN000062,6395,2324,9712.27,SUCCESS,,SBI,BOB,2025-05-10 12:02:19.580274,2025-05-10
TXN000063,4857,5515,5120.61,SUCCESS,,BOB,HDF,2025-02-04 21:21:39.580274,2025-02-04
TXN000064,9749,2463,4222.72,SUCCESS,,SBI,PNB,2025-06-20 13:11:01.580274,2025-06-20
TXN000065,2713,7331,4473.81,SUCCESS,,UOB,PNB,2024-11-24 04:50:15.580274,2024-11-24
TXN000066,6639,9192,9332.47,FAILED,1.0,PNB,PNB,2024-11-12 14:18:52.580274,2024-11-12
TXN000067,5165,4663,7881.5,SUCCESS,,PNB,SBI,2025-07-03 11:16:15.580274,2025-07-03
TXN000068,2897,7988,734.41,SUCCESS,,SBI,AXB,2024-07-18 20:03:06.580274,2024-07-18
TXN000069,1311,4197,7019.69,SUCCESS,,PNB,SBI,2025-01-13 18:48:48.580274,2025-01-13
TXN000070,8992,4080,9024.4,SUCCESS,,AXB,AXB,2024-11-30 15:00:47.580274,2024-11-30
TXN000071,9258,4745,8719.36,FAILED,12.0,UOB,PNB,2024-09-05 21:16:41.580274,2024-09-05
TXN000072,9088,4395,3114.76,PENDING,,PNB,UOB,2025-03-05 21:07:43.580274,2025-03-05
TXN000073,4855,9747,9895.03,SUCCESS,,SBI,BOB,2024-09-08 05:32:49.580274,2024-09-08
TXN000074,8690,4798,594.86,FAILED,51.0,SBI,UOB,2025-05-18 02:35:03.580274,2025-05-18
TXN000075,1904,7086,4272.64,SUCCESS,,PNB,PNB,2025-04-18 18:53:02.580274,2025-04-18
TXN000076,7521,3094,9147.41,SUCCESS,,SBI,AXB,2024-12-06 18:50:23.580274,2024-12-06
TXN000077,4653,3044,5404.25,FAILED,1.0,SBI,PNB,2024-07-31 07:57:35.580274,2024-07-31
TXN000078,1425,2137,2247.41,FAILED,51.0,SBI,SBI,2024-10-31 15:58:18.580274,2024-10-31
TXN000079,4471,3199,124.73,FAILED,12.0,UOB,UOB,2025-04-04 23:56:22.580274,2025-04-04
TXN000080,9547,5785,3274.9,FAILED,12.0,PNB,SBI,2025-01-12 23:28:24.580274,2025-01-12
TXN000081,6203,5956,3261.5,SUCCESS,,BOB,BOB,2024-07-25 08:48:20.580274,2024-07-25
TXN000082,9824,1884,1613.99,SUCCESS,,SBI,PNB,2024-12-03 18:04:39.580274,2024-12-03
TXN000083,7553,9604,9907.8,PENDING,,HDF,AXB,2024-08-10 12:59:42.580274,2024-08-10
TXN000084,7729,1449,6646.45,FAILED,1.0,HDF,HDF,2025-03-23 04:47:12.580274,2025-03-23
TXN000085,3718,5900,4574.88,SUCCESS,,SBI,BOB,2024-07-31 02:51:04.580274,2024-07-31
TXN000086,7194,7912,4048.91,SUCCESS,,UOB,PNB,2024-08-25 02:50:30.580274,2024-08-25
TXN000087,8711,2302,2512.81,SUCCESS,,HDF,PNB,2024-12-24 03:42:22.580274,2024-12-24
TXN000088,2552,1594,15.3,FAILED,5.0,AXB,UOB,2024-08-04 03:28:51.580274,2024-08-04
TXN000089,7647,2497,5389.75,SUCCESS,,PNB,UOB,2024-09-24 17:12:27.580274,2024-09-24
TXN000090,8521,1804,620.16,SUCCESS,,HDF,BOB,2024-11-08 14:35:47.580274,2024-11-08
TXN000091,1152,1783,6759.68,FAILED,5.0,UOB,AXB,2024-12-07 18:38:54.580274,2024-12-07
TXN000092,7578,7969,4470.14,SUCCESS,,SBI,HDF,2024-08-02 18:33:56.580274,2024-08-02
TXN000093,5969,9267,1741.57,SUCCESS,,SBI,UOB,2025-02-14 06:19:08.580274,2025-02-14
TXN000094,6900,6102,4749.96,SUCCESS,,AXB,AXB,2024-10-12 07:27:19.580274,2024-10-12
TXN000095,4618,7655,6905.27,SUCCESS,,HDF,UOB,2025-06-30 02:45:22.580274,2025-06-30
TXN000096,3700,2709,5429.03,SUCCESS,,UOB,BOB,2024-12-05 04:47:03.580274,2024-12-05
TXN000097,9436,8126,3026.68,SUCCESS,,UOB,PNB,2024-12-11 17:21:02.580274,2024-12-11
TXN000098,6739,8094,3290.09,SUCCESS,,SBI,SBI,2024-10-27 03:50:42.580274,2024-10-27
TXN000099,7783,2029,9687.27,SUCCESS,,AXB,UOB,2024-09-30 18:05:29.580274,2024-09-30
TXN000100,1240,6433,2683.0,SUCCESS,,UOB,UOB,2025-01-08 21:17:26.580274,2025-01-08
TXN000101,6938,9267,8053.61,FAILED,51.0,SBI,SBI,2024-11-21 11:16:16.580274,2024-11-21
TXN000102,6821,6379,6062.51,SUCCESS,,BOB,AXB,2024-10-23 01:58:58.580274,2024-10-23
TXN000103,7457,4544,9188.54,SUCCESS,,HDF,HDF,2025-03-15 21:25:38.580274,2025-03-15
TXN000104,2682,6263,1574.92,SUCCESS,,BOB,BOB,2024-10-26 20:44:21.580274,2024-10-26
TXN000105,8424,4778,924.42,SUCCESS,,HDF,HDF,2024-10-02 08:16:44.580274,2024-10-02
TXN000106,4503,7022,2808.86,FAILED,1.0,BOB,HDF,2025-03-24 00:24:33.580274,2025-03-24
TXN000107,9702,3096,4755.06,SUCCESS,,HDF,BOB,2025-06-16 20:33:46.580274,2025-06-16
TXN000108,4301,5264,5477.46,SUCCESS,,AXB,AXB,2024-07-24 20:26:56.580274,2024-07-24
TXN000109,1044,5239,9218.25,SUCCESS,,PNB,SBI,2024-08-18 10:47:06.580274,2024-08-18
TXN000110,5750,3849,16.04,SUCCESS,,UOB,SBI,2025-01-04 16:22:05.580274,2025-01-04
TXN000111,3451,2112,1484.98,SUCCESS,,SBI,PNB,2024-09-03 02:20:39.580274,2024-09-03
TXN000112,3170,1740,1259.83,SUCCESS,,AXB,HDF,2025-02-02 00:07:07.580274,2025-02-02
TXN000113,1007,1975,5242.64,FAILED,51.0,HDF,PNB,2024-09-15 09:08:06.580274,2024-09-15
TXN000114,5326,6755,5009.49,PENDING,,SBI,BOB,2024-10-31 04:25:58.580274,2024-10-31
TXN000115,5098,4769,3682.39,SUCCESS,,SBI,HDF,2025-06-30 17:53:49.580274,2025-06-30
TXN000116,4615,3338,3943.67,PENDING,,HDF,AXB,2024-11-18 04:11:57.580274,2024-11-18
TXN000117,6694,1328,8362.3,FAILED,1.0,HDF,BOB,2024-10-11 04:35:47.580274,2024-10-11
TXN000118,8800,3585,9047.07,SUCCESS,,AXB,BOB,2025-06-16 20:28:55.580274,2025-06-16
TXN000119,1743,1494,8470.48,SUCCESS,,HDF,UOB,2024-09-23 00:22:01.580274,2024-09-23
TXN000120,4077,6310,8096.75,FAILED,12.0,BOB,PNB,2024-09-04 04:25:56.580274,2024-09-04
TXN000121,9921,2271,4689.66,SUCCESS,,BOB,HDF,2025-02-15 06:15:33.580274,2025-02-15
TXN000122,1015,2614,6172.61,SUCCESS,,PNB,UOB,2025-02-22 02:43:39.580274,2025-02-22
TXN000123,8715,5236,5835.52,PENDING,,BOB,BOB,2025-01-15 21:47:26.580274,2025-01-15
TXN000124,8465,6620,3220.02,SUCCESS,,BOB,UOB,2025-06-13 07:06:49.580274,2025-06-13
TXN000125,3441,2391,5532.73,SUCCESS,,UOB,PNB,2024-11-14 03:37:34.580274,2024-11-14
TXN000126,2244,1286,6034.08,SUCCESS,,BOB,UOB,2024-07-30 23:49:10.580274,2024-07-30
TXN000127,1536,7196,9436.47,SUCCESS,,SBI,BOB,2025-03-12 23:58:57.580274,2025-03-12
TXN000128,1408,7431,4115.83,SUCCESS,,UOB,PNB,2025-03-26 07:32:22.580274,2025-03-26
TXN000129,3218,8456,3288.93,FAILED,1.0,BOB,BOB,2024-09-28 10:20:26.580274,2024-09-28
TXN000130,8512,1099,1993.56,SUCCESS,,SBI,UOB,2025-04-06 01:12:50.580274,2025-04-06
TXN000131,2557,9184,6635.71,SUCCESS,,SBI,SBI,2024-09-12 13:10:05.580274,2024-09-12
TXN000132,5367,3609,3375.18,FAILED,5.0,HDF,SBI,2025-02-28 00:41:04.580274,2025-02-28
TXN000133,2293,7940,120.66,SUCCESS,,UOB,BOB,2025-03-16 17:33:05.580274,2025-03-16
TXN000134,7394,8359,1871.94,SUCCESS,,SBI,SBI,2025-02-03 03:58:00.580274,2025-02-03
TXN000135,4205,4226,9783.38,SUCCESS,,AXB,UOB,2025-02-04 18:57:36.580274,2025-02-04
TXN000136,8310,1839,1035.67,SUCCESS,,HDF,HDF,2025-04-30 21:48:09.580274,2025-04-30
TXN000137,2807,5887,8109.12,SUCCESS,,SBI,HDF,2024-07-30 11:59:06.580274,2024-07-30
TXN000138,7647,8921,2034.13,SUCCESS,,PNB,AXB,2025-04-03 16:12:21.580274,2025-04-03
TXN000139,2471,6291,8452.39,SUCCESS,,BOB,PNB,2024-09-04 02:55:53.580274,2024-09-04
TXN000140,2321,7178,4392.4,SUCCESS,,UOB,UOB,2024-10-12 18:47:48.580274,2024-10-12
TXN000141,9878,3632,9238.11,SUCCESS,,AXB,PNB,2025-05-25 21:32:22.580274,2025-05-25
TXN000142,7160,9658,8455.59,SUCCESS,,HDF,UOB,2024-08-01 07:57:51.580274,2024-08-01
TXN000143,3494,9465,4093.88,SUCCESS,,SBI,UOB,2025-05-22 00:11:11.580274,2025-05-22
TXN000144,8587,7368,873.29,SUCCESS,,AXB,SBI,2024-09-27 05:22:38.580274,2024-09-27
TXN000145,4016,8670,882.91,SUCCESS,,HDF,AXB,2025-03-16 22:07:52.580274,2025-03-16
TXN000146,3354,4876,710.8,SUCCESS,,HDF,BOB,2024-08-21 18:36:47.580274,2024-08-21
TXN000147,4946,9881,8135.35,SUCCESS,,PNB,BOB,2024-10-04 01:08:44.580274,2024-10-04
TXN000148,7358,9878,3273.26,FAILED,12.0,UOB,AXB,2024-11-15 07:44:51.580274,2024-11-15
TXN000149,6366,5305,517.86,SUCCESS,,HDF,BOB,2025-01-26 06:16:09.580274,2025-01-26
TXN000150,9419,3702,510.75,SUCCESS,,SBI,SBI,2025-06-21 06:01:11.580274,2025-06-21
TXN000151,4104,9373,6615.8,FAILED,51.0,SBI,SBI,2025-05-22 03:08:46.580274,2025-05-22
TXN000152,3923,6559,9902.2,SUCCESS,,PNB,UOB,2025-04-12 13:35:40.580274,2025-04-12
TXN000153,7357,8986,8635.82,SUCCESS,,BOB,BOB,2024-09-16 23:29:48.580274,2024-09-16
TXN000154,5460,6903,4949.01,SUCCESS,,UOB,HDF,2024-10-17 15:56:21.580274,2024-10-17
TXN000155,4370,9519,600.41,SUCCESS,,UOB,SBI,2025-07-01 10:12:36.580274,2025-07-01
TXN000156,2646,2833,3495.36,SUCCESS,,SBI,BOB,2025-02-09 21:19:42.580274,2025-02-09
TXN000157,5562,5081,6014.46,FAILED,1.0,UOB,UOB,2025-07-07 10:55:14.580274,2025-07-07
TXN000158,4594,2905,4177.53,SUCCESS,,AXB,SBI,2025-07-07 08:32:42.580274,2025-07-07
TXN000159,3701,9140,5346.32,SUCCESS,,HDF,PNB,2025-01-31 20:11:49.580274,2025-01-31
TXN000160,2005,4025,5625.24,SUCCESS,,HDF,SBI,2024-10-11 00:28:43.580274,2024-10-11
TXN000161,4620,8670,6626.68,SUCCESS,,PNB,BOB,2025-06-23 04:48:51.580274,2025-06-23
TXN000162,4630,2663,6607.69,SUCCESS,,HDF,HDF,2024-10-30 09:27:07.580274,2024-10-30
TXN000163,9076,1067,2704.9,SUCCESS,,PNB,BOB,2025-03-19 08:14:05.580274,2025-03-19
TXN000164,6414,4164,5023.77,SUCCESS,,BOB,PNB,2025-02-11 17:58:00.580274,2025-02-11
TXN000165,7724,6092,4722.85,SUCCESS,,UOB,HDF,2024-11-17 10:32:09.580274,2024-11-17
TXN000166,5147,3422,9483.73,SUCCESS,,SBI,AXB,2025-04-22 03:45:03.580274,2025-04-22
TXN000167,4589,7255,9910.95,SUCCESS,,HDF,PNB,2025-06-15 20:09:46.580274,2025-06-15
TXN000168,5468,6241,5278.47,PENDING,,AXB,UOB,2024-11-08 18:08:22.580274,2024-11-08
TXN000169,2793,2157,7368.09,SUCCESS,,HDF,AXB,2024-10-24 05:58:30.580274,2024-10-24
TXN000170,4307,2859,778.31,SUCCESS,,SBI,SBI,2025-06-29 23:17:51.580274,2025-06-29
TXN000171,1107,2049,8552.21,PENDING,,BOB,BOB,2024-12-09 06:35:47.580274,2024-12-09
TXN000172,3778,1024,6789.15,SUCCESS,,BOB,UOB,2025-07-11 11:06:04.580274,2025-07-11
TXN000173,8090,8339,5091.93,SUCCESS,,SBI,AXB,2025-03-24 00:52:29.580274,2025-03-24
TXN000174,3595,3514,6071.67,PENDING,,AXB,UOB,2024-11-14 22:30:43.580274,2024-11-14
TXN000175,4399,1009,2284.56,SUCCESS,,PNB,AXB,2025-02-24 16:13:28.580274,2025-02-24
TXN000176,9137,6646,2502.82,PENDING,,AXB,UOB,2025-07-10 23:29:01.580274,2025-07-10
TXN000177,6779,4182,17.15,FAILED,51.0,BOB,SBI,2024-07-20 10:56:22.580274,2024-07-20
TXN000178,9185,5417,9802.61,SUCCESS,,HDF,AXB,2024-07-21 09:12:47.580274,2024-07-21
TXN000179,1591,2152,3106.8,SUCCESS,,AXB,HDF,2025-02-24 10:25:37.580274,2025-02-24
TXN000180,7860,2296,7036.07,SUCCESS,,HDF,BOB,2024-11-19 16:15:08.580274,2024-11-19
TXN000181,4158,4413,8971.18,FAILED,12.0,PNB,AXB,2024-09-26 22:08:08.580274,2024-09-26
TXN000182,4576,1174,615.42,FAILED,1.0,PNB,AXB,2025-03-29 14:46:11.580274,2025-03-29
TXN000183,8954,3574,3228.58,SUCCESS,,HDF,AXB,2024-10-01 13:44:49.580274,2024-10-01
TXN000184,4481,1742,9053.42,SUCCESS,,SBI,SBI,2024-12-26 06:01:58.580274,2024-12-26
TXN000185,5683,2058,1039.88,SUCCESS,,UOB,AXB,2025-06-15 00:46:41.580274,2025-06-15
TXN000186,6367,2855,888.92,SUCCESS,,BOB,HDF,2025-04-03 10:51:20.580274,2025-04-03
TXN000187,3892,4165,2909.88,SUCCESS,,HDF,HDF,2024-11-24 05:09:35.580274,2024-11-24
TXN000188,8911,9671,6003.39,SUCCESS,,BOB,PNB,2025-05-03 18:07:39.580274,2025-05-03
TXN000189,5120,4015,5993.72,SUCCESS,,SBI,AXB,2024-12-26 10:00:04.580274,2024-12-26
TXN000190,6162,9522,2270.11,SUCCESS,,SBI,SBI,2024-08-31 11:42:33.580274,2024-08-31
TXN000191,4081,5715,2833.27,SUCCESS,,SBI,HDF,2024-10-25 11:14:32.580274,2024-10-25
TXN000192,1833,6900,4197.21,SUCCESS,,AXB,SBI,2024-07-22 03:42:11.580274,2024-07-22
TXN000193,2211,3557,65.85,PENDING,,HDF,UOB,2025-05-12 00:01:36.580274,2025-05-12
TXN000194,7328,8834,2201.76,SUCCESS,,UOB,PNB,2024-11-17 20:53:12.580274,2024-11-17
TXN000195,3761,7722,7116.39,SUCCESS,,UOB,HDF,2024-09-08 17:12:47.580274,2024-09-08
TXN000196,3650,8146,6755.44,FAILED,12.0,UOB,PNB,2024-09-23 03:25:18.580274,2024-09-23
TXN000197,7551,9837,957.07,SUCCESS,,BOB,HDF,2025-06-20 03:38:19.580274,2025-06-20
TXN000198,8356,1235,9252.7,FAILED,1.0,PNB,BOB,2025-05-02 07:08:57.580274,2025-05-02
TXN000199,7837,5140,7639.26,SUCCESS,,PNB,HDF,2024-12-27 03:22:01.580274,2024-12-27
TXN000200,4360,7844,6802.11,SUCCESS,,BOB,SBI,2025-03-25 22:13:17.580274,2025-03-25
TXN000201,8748,6335,7679.97,FAILED,5.0,BOB,SBI,2024-08-01 23:49:34.580274,2024-08-01
TXN000202,4043,4423,4735.34,SUCCESS,,UOB,SBI,2024-07-19 00:29:04.580274,2024-07-19
TXN000203,8024,8892,9198.08,SUCCESS,,HDF,BOB,2025-06-24 07:04:01.580274,2025-06-24
TXN000204,5267,3970,2205.48,FAILED,12.0,BOB,HDF,2024-09-18 06:05:11.580274,2024-09-18
TXN000205,8026,7108,8694.63,SUCCESS,,PNB,SBI,2025-06-26 14:02:20.580274,2025-06-26
TXN000206,7299,4874,8068.26,SUCCESS,,HDF,PNB,2024-07-23 13:17:47.580274,2024-07-23
TXN000207,1094,8859,3375.78,FAILED,12.0,HDF,HDF,2025-06-27 16:32:32.580274,2025-06-27
TXN000208,4393,8623,4061.26,FAILED,12.0,UOB,BOB,2025-03-14 12:28:41.580274,2025-03-14
TXN000209,6307,8839,3198.65,FAILED,12.0,BOB,PNB,2025-01-06 00:04:18.580274,2025-01-06
TXN000210,9008,9115,4138.59,PENDING,,BOB,AXB,2025-01-20 04:41:16.580274,2025-01-20
TXN000211,2773,1179,4040.82,SUCCESS,,SBI,PNB,2024-12-25 08:53:46.580274,2024-12-25
TXN000212,2670,2657,8651.62,SUCCESS,,AXB,BOB,2025-01-22 11:09:57.580274,2025-01-22
TXN000213,6413,6370,1874.39,SUCCESS,,HDF,UOB,2025-03-02 13:30:56.580274,2025-03-02
TXN000214,4977,8983,1202.44,PENDING,,BOB,HDF,2025-03-15 18:18:04.580274,2025-03-15
TXN000215,3963,5121,1676.93,PENDING,,PNB,HDF,2024-09-24 05:56:03.580274,2024-09-24
TXN000216,1564,7193,5433.69,SUCCESS,,AXB,AXB,2024-07-29 06:17:53.580274,2024-07-29
TXN000217,8085,8360,645.79,SUCCESS,,UOB,UOB,2025-06-19 23:55:44.580274,2025-06-19
TXN000218,8531,3005,1287.78,SUCCESS,,PNB,AXB,2024-12-31 20:25:16.580274,2024-12-31
TXN000219,7323,7115,7906.67,SUCCESS,,SBI,HDF,2024-09-26 01:50:52.580274,2024-09-26
TXN000220,5758,7177,5525.19,SUCCESS,,HDF,PNB,2024-07-19 06:13:01.580274,2024-07-19
TXN000221,5729,5643,7474.97,SUCCESS,,BOB,UOB,2024-09-06 22:17:41.580274,2024-09-06
TXN000222,5920,4276,2118.71,SUCCESS,,UOB,BOB,2025-06-01 11:58:42.580274,2025-06-01
TXN000223,7322,6300,2145.21,SUCCESS,,BOB,UOB,2024-09-18 12:14:26.580274,2024-09-18
TXN000224,8760,1452,6673.3,FAILED,1.0,SBI,BOB,2024-09-02 16:30:19.580274,2024-09-02
TXN000225,6022,4082,4321.45,SUCCESS,,BOB,BOB,2024-08-25 11:45:12.580274,2024-08-25
TXN000226,3291,3886,9885.45,FAILED,51.0,PNB,HDF,2024-11-15 02:06:41.580274,2024-11-15
TXN000227,1839,8049,1189.91,SUCCESS,,UOB,AXB,2024-10-26 04:36:58.580274,2024-10-26
TXN000228,9560,6843,5672.12,FAILED,1.0,BOB,BOB,2024-08-06 20:43:07.580274,2024-08-06
TXN000229,3104,7536,7739.51,SUCCESS,,BOB,BOB,2025-01-04 20:17:18.580274,2025-01-04
TXN000230,9511,5555,3720.81,SUCCESS,,BOB,HDF,2024-11-02 03:41:39.580274,2024-11-02
TXN000231,8658,1892,6974.16,SUCCESS,,HDF,UOB,2025-05-15 04:49:00.580274,2025-05-15
TXN000232,5720,2381,6218.92,SUCCESS,,BOB,BOB,2024-11-11 12:51:24.580274,2024-11-11
TXN000233,6515,1853,5384.7,FAILED,1.0,BOB,HDF,2024-12-26 16:34:47.580274,2024-12-26
TXN000234,4573,4767,6715.95,SUCCESS,,UOB,UOB,2024-08-04 00:36:33.580274,2024-08-04
TXN000235,2264,5475,9021.6,FAILED,1.0,PNB,SBI,2024-10-19 05:59:37.580274,2024-10-19
TXN000236,8816,1992,9766.94,FAILED,51.0,HDF,SBI,2025-06-22 15:28:18.580274,2025-06-22
TXN000237,7854,5536,9675.73,FAILED,12.0,SBI,BOB,2024-12-11 04:21:52.580274,2024-12-11
TXN000238,5281,8645,2554.48,SUCCESS,,PNB,HDF,2025-01-06 13:28:02.580274,2025-01-06
TXN000239,1293,7196,2596.68,PENDING,,SBI,UOB,2025-05-11 17:02:10.580274,2025-05-11
TXN000240,6369,6106,178.75,FAILED,1.0,SBI,HDF,2024-09-30 00:30:39.580274,2024-09-30
TXN000241,6012,5194,4110.85,PENDING,,PNB,BOB,2025-01-10 04:03:08.580274,2025-01-10
TXN000242,3906,7344,8923.19,SUCCESS,,AXB,AXB,2025-04-04 02:43:04.580274,2025-04-04
TXN000243,1235,5530,2107.33,SUCCESS,,SBI,AXB,2025-01-31 08:40:07.580274,2025-01-31
TXN000244,8068,9786,7066.41,SUCCESS,,SBI,HDF,2025-03-11 13:30:27.580274,2025-03-11
TXN000245,1346,6136,9615.27,PENDING,,BOB,PNB,2025-02-22 00:11:25.580274,2025-02-22
TXN000246,5139,7188,8270.04,SUCCESS,,UOB,PNB,2025-07-14 07:40:42.580274,2025-07-14
TXN000247,7381,1960,1438.1,SUCCESS,,UOB,HDF,2024-10-12 10:42:01.580274,2024-10-12
TXN000248,4781,9160,3882.98,SUCCESS,,UOB,HDF,2024-09-16 16:32:28.580274,2024-09-16
